Col,Row,Endpoint,Author,Start Age,End Age,Point Estimate,Population,Delta,Mean,Baseline,Percent of Baseline,Standard Deviation,Variance,Percentile 2.5,Percentile 7.5,Percentile 12.5,Percentile 17.5,Percentile 22.5,Percentile 27.5,Percentile 32.5,Percentile 37.5,Percentile 42.5,Percentile 47.5,Percentile 52.5,Percentile 57.5,Percentile 62.5,Percentile 67.5,Percentile 72.5,Percentile 77.5,Percentile 82.5,Percentile 87.5,Percentile 92.5,Percentile 97.5
14,63,Mortality  All Cause,Krewski et al.,30,99,0.00756712444126606,41.7581062316895,2.32356214523315,0.00756256282329559,0.562699317932129,1.34399998188019,0.00120321928989142,1.44773673582677E-06,0.0051221470348537,0.00577113870531321,0.00613065669313073,0.00640092650428414,0.00662484765052795,0.00682339677587152,0.00700177531689405,0.00716992374509573,0.00733063509687781,0.00748734548687935,0.00764289451763034,0.0078002018854022,0.00796008110046387,0.00812836829572916,0.00830613169819117,0.00850077159702778,0.00872331671416759,0.00899019930511713,0.00934511981904507,0.00999137759208679
14,64,Mortality  All Cause,Krewski et al.,30,99,0.717907071113586,3994.77880859375,1.74688720703125,0.717504322528839,70.8883666992188,1.01219999790192,0.114343538880348,0.0130744446069002,0.485683441162109,0.547299921512604,0.581440925598145,0.607110142707825,0.628379762172699,0.647241115570068,0.664187788963318,0.680163860321045,0.695434212684631,0.710325717926025,0.725107789039612,0.740058064460754,0.755253672599792,0.771249711513519,0.788147807121277,0.806651592254639,0.827810347080231,0.853187322616577,0.88694030046463,0.948413014411926
14,65,Mortality  All Cause,Krewski et al.,30,99,0.405829250812531,2310.49389648438,1.61434125900269,0.405605494976044,43.3463096618652,0.935699999332428,0.0646627843379974,0.00418127560988069,0.274520099163055,0.309357464313507,0.328661441802979,0.343175828456879,0.355202794075012,0.365868210792542,0.375451117753983,0.384485334157944,0.39312070608139,0.401541888713837,0.409901350736618,0.41835606098175,0.426949709653854,0.43599608540535,0.445552855730057,0.456017881631851,0.467984735965729,0.482337653636932,0.501428604125977,0.536199808120728
14,66,Mortality  All Cause,Krewski et al.,30,99,2.07683062553406,12835.681640625,1.5616626739502,2.07569336891174,229.272216796875,0.90530002117157,0.33096244931221,0.10953614115715,1.4047863483429,1.58307862281799,1.68187546730042,1.75616025924683,1.81771492958069,1.87230157852173,1.92134857177734,1.96758723258972,2.01178503036499,2.05488634109497,2.09767293930054,2.14094662666321,2.1849319934845,2.23123502731323,2.28015041351318,2.33371543884277,2.39496755599976,2.46843385696411,2.56615304946899,2.74413728713989
14,67,Mortality  All Cause,Krewski et al.,30,99,0.0090899933129549,73.8720321655273,1.55748081207275,0.00908501911908388,1.00617408752441,0.902899980545044,0.00144859356805682,2.0984232378396E-06,0.00614852644503117,0.00692889047786593,0.00736131286248565,0.00768645014613867,0.00795586779713631,0.00819479022175074,0.00840946193784475,0.00861184485256672,0.00880529452115297,0.00899394601583481,0.00918121822178364,0.00937062408775091,0.0095631442964077,0.0097658084705472,0.00997990742325783,0.010214357636869,0.0104824528098106,0.0108040105551481,0.0112317204475403,0.0120107475668192
14,68,Mortality  All Cause,Krewski et al.,30,99,0.113337434828281,1351.72045898438,1.18213129043579,0.11327850818634,16.5107078552246,0.686100006103516,0.0180813539773226,0.000326935376506299,0.076634980738163,0.086369514465332,0.0917644947767258,0.0958213284611702,0.0991831794381142,0.102164670825005,0.104843728244305,0.107369519770145,0.109783940017223,0.112138591706753,0.11447612196207,0.116840392351151,0.119243651628494,0.121773675084114,0.124446570873261,0.127373695373535,0.130721092224121,0.134736299514771,0.140077471733093,0.149807274341583
14,69,Mortality  All Cause,Krewski et al.,30,99,0.38010573387146,3852.24560546875,1.19411396980286,0.379907786846161,54.819091796875,0.693000018596649,0.0606382824480534,0.0036770012229681,0.257017701864243,0.289664417505264,0.307757496833801,0.321362793445587,0.332637339830399,0.342636287212372,0.351620852947235,0.360091507434845,0.368188589811325,0.37608528137207,0.38392448425293,0.391853392124176,0.399913012981415,0.408397734165192,0.417361587285995,0.427178025245667,0.438403964042664,0.451869279146194,0.469781339168549,0.50241094827652
14,70,Mortality  All Cause,Krewski et al.,30,99,2.76922702789307,16910.083984375,1.52773189544678,2.7677173614502,312.468414306641,0.885800004005432,0.441345900297165,0.194786205887794,1.87306928634644,2.11081290245056,2.24255514144897,2.3416121006012,2.42369413375854,2.49648547172546,2.56188941001892,2.62354922294617,2.68248748779297,2.7399640083313,2.79702067375183,2.85472750663757,2.91338348388672,2.97513031959534,3.04036116600037,3.11179256439209,3.19347643852234,3.29144859313965,3.42176485061646,3.65912389755249
15,58,Mortality  All Cause,Krewski et al.,30,99,0.00496571324765682,32.862060546875,2.98477220535278,0.00496248248964548,0.288008093833923,1.72300004959106,0.000788059260230511,6.21037429482385E-07,0.00336335832253098,0.00378888100385666,0.00402454426512122,0.00420167669653893,0.00434841448441148,0.0044785114005208,0.00459538074210286,0.00470553804188967,0.00481081381440163,0.00491346046328545,0.00501533830538392,0.00511836027726531,0.00522305630147457,0.00533325038850307,0.00544963870197535,0.00557706411927938,0.00572274345904589,0.00589742418378592,0.00612969137728214,0.00655250390991569
15,59,Mortality  All Cause,Krewski et al.,30,99,0.029743779450655,199.35905456543,3.15668296813965,0.0297240596264601,1.6319854259491,1.82130002975464,0.00471797632053494,2.22593007492833E-05,0.0201492048799992,0.0226974505931139,0.0241086278110743,0.0251692738384008,0.0260478891432285,0.0268268454819918,0.0275265835225582,0.0281861163675785,0.0288164094090462,0.0294309481978416,0.0300408750772476,0.0306576322764158,0.0312844067811966,0.0319440774619579,0.0326408110558987,0.0334035977721214,0.0342756323516369,0.0353212393820286,0.0367114804685116,0.0392420738935471
15,60,Mortality  All Cause,Krewski et al.,30,99,0.172708585858345,1127.66845703125,3.30362701416016,0.172592237591743,9.05856418609619,1.90530002117157,0.0273834113031626,0.000749851227737963,0.117013424634933,0.131807148456573,0.139999195933342,0.146156147122383,0.151256293058395,0.155777812004089,0.159839436411858,0.163667619228363,0.167325988411903,0.170892879366875,0.174432933330536,0.178012579679489,0.181650280952454,0.185478776693344,0.18952240049839,0.193949237465858,0.199009954929352,0.205077797174454,0.21314537525177,0.227829575538635
